,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
10, on 10/29/10 00:00 AM (PDT),Stu ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Fun stang, Only had car for one week and this car put the fun back into driving.Even though it's a V6 it still get up and goes.I love the way it handles and turns heads.,4.5
11, on 08/22/10 17:37 PM (PDT),shackm ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Well worth the wait!," Previous mustang owner (1980) and have had a serious stalking issue with this car since Ford introduced the '05 model.  I don't care too much for the look of the 09-11 models, and recently found an '06 and bought it from the original owner.  He drove it a lot (70k miles), but took good care of it and she looks sweet.  So much fun to drive and decent gas mileage too.       ",4.75
12, on 08/20/10 10:34 AM (PDT),Chet ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),166K miles and still going strong," I drive a lot of miles, at least 150/day.  I just had the water pump replaced at 166,000 miles and decided it was time to do the rest of the maintenance that I have neglected for the last 5 years.  I changed the oil regularly with Mobil 1 and changed the brakes when necessary.  Other than that everything has always worked perfectly.  I replaced the spark plugs at 140,000 miles just because.  The originals still looked good, just needed a gap adjustment.",4.875
13, on 07/22/10 15:00 PM (PDT),Max Lives ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),Max Lives," I purchased this Horsey in memory of my dad, Max M. Kruger a design engineer and an original member of the Mustang design team under Lee Iaccoca at Ford.  Compared to my 2 previous '73 Mach I joys, this Steed is more stealthy, has greater visibility and obviously more technologically refined. Had only one real issue with her.  The trip meter occasionally zero's itself even after extensive dealer repairs and tech help from Ford. Yes a few rattles. Also needed a new battery due to Florida heat. Got a set of General Ulimax HP tires and they are the best I ever owned. I'm not sure which I like better, watching my wife drive off in her, me driving us, or just looking at her.  Max Lives!",4.625
14, on 06/19/10 10:05 AM (PDT),kells ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),"Great car, couple of issues"," Dash board rattles, dealer couldn't fix it, filed lemon law got $2000 from Ford. Brake pads & rotors went at 12,000 miles witch is unheard of, $600- $800 job. Replaced bat after 3 yrs which is norm. Replaced fuel filter which is recommended. Rear brake bulbs have been replaced about 4 times (easy to do yourself though) other then that nothing major has gone wrong. I drive 12,000 a year, some highway road trips and still drives great.",4.375
15, on 06/11/10 17:13 PM (PDT),DLJ ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),Only a few minior issues," I drive very little (about 5k miles per year), but when I do i like to wring it out around town, on the highway, and twisty back-country roads.  This car handles them all very well.  Haven't had any real issues, and have kept up with scheduled maintenance.  I did have a transmission pan leak which was repaired by a dealer; a few months later it was leaking again and the dealer fixed it again (free as was still under warr. then).  I have an extended warranty for peace of mind but don't anticipate needing it.  There has always been a little squeak near the gauge cluster, which I meant to get fixed but it hasn't bothered me enough to do so.",4.375
16, on 04/28/10 06:15 AM (PDT),Carl ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),It is what it is," This was my first new car purchase and I really liked it at first....Untill everyone in Oklahoma city bought one. Atleast there will be pleanty around to pull parts of in the salvage yard. Guys and gals, this car is what it is plus a tiny, tiny bit more..... It's a (new) $20,000 sports car. I do actually love mine and it runs great but I can see it going to pieces not too far down the road. It's starting to rattle a little much and the two ""subs"" in the door aren't subs.... Subs are made to play mounted in a box, not mounted in a door but hats off to ford for at least trying to be hip. ",3.75
17, on 04/19/10 01:31 AM (PDT),shibemw ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Lemon Mustang, Nice styling car and fun to drive when it is not heading back to dealership for unending mystery electrical problems.  I have had to many problems with this car to ever want another sports car again.  Couple that with a dealership that wants to nickel and dime you on warranty work makes for bad Ford business.  Not a practical car to own in the winter time in Colorado Springs.    ,4
18, on 03/01/10 18:21 PM (PST),DuaneW ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),So so....," I was exceptionally impressed with the down and dirty V6.  The Chevy Monte Carlo LT and SS Intimidator have nothing on the 4.0 stock!! I bought an 06 5-speed Pony Edition before I went to college.  It's about 8 months later and the throttle body is havin issues, killing the car about every 30 miles.  The clutch is slipping already, not impressed with that.  The Shaker 500 is really nice, don't crank it too loud though.  The amp for the stereo runs down the factory battery like no other.  It's reliable as heck until the engine starts acting up.  Had the system checked, so I know its the throttle body.  For a car that is four years old, the clutch and induction should not be having trouble.",4.75
19, on 02/24/10 20:54 PM (PST),Ted ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great looking car," I purchased the Mustang new with every option you could get on the V6 Premium Cpe including ""Pony Package"".  It's the first American car I've bought in 20 years.  Great looking car with a very stiff ride and lots of rattles.  At 30k service, it needed an Alternator and a battery. All things considered, I like the car sans the rattles which the dealer has been unable to fix.  I have a 20 year old toyota with out any rattles!",4
20, on 01/18/10 08:51 AM (PST),ilcoolj ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),"Worst Mustang ever, Don't buy Ford !!!"," 09/23/06 I financed a '06 Mustang GT, my 1st new car. Previously my family and I have had about 10 Fords. after 6 mos. the car stalled out, I didnt think anything of it. In'07 the problem became more noticeable I also had the battery replace twice. The alternator and L/F headlight (water). In'08 the problem became more frequent stalling between 30-40mph. The dealer couldnt find thr problem after frequent visits. In Feb.'09 I was going to trade it in for a used '08 Shelby GT500. The deal fell apart when the belt kept tearing. Took it to another dealer and was told crank was bad, waited 2 mos. to have engine rebuilt. called cust.service they're very nasty. Lemon law,govt agencies,legal no help",3.375
21, on 11/28/09 19:36 PM (PST),StangGirl731 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),My 1st Stang !," This car is a blast. I purchased my 06' Performance White GT Premium about 4 months ago. It drives like a dream, its everything I ever imagined. I wanted one since the day it came out and I'm not sorry for the purchase. I get a lot of compliments. So far I have not had any problems what so ever. I have taken it to the Ford dealership I purchased it from for oil changes and everytime so far everything has been 100%",4.875
22, on 11/12/09 08:34 AM (PST),stevie ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),great car bad battery and window system, I love to drive the car and to look at the car.  I have had problems with the battery draining.  I've jumped it 5 times.  I've also had problems with the driver side window.  I had to take it to the dealership 2 times for the same issue.  The 3rd time it was out of warranty and the dealership didn't want to take ownership of the problem.,4.5
23, on 09/23/09 09:09 AM (PDT),ChristaK ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great Car, It's noisy. It rides rough.  It's uncomfortable on long trips.  It's great on gas. It looks great.  It has not let me down.  I wouldn't trade it for another.....Unless it was a newer one.  This is my second one. It's all mine.  And it's payed off!,4.625
24, on 08/16/09 21:41 PM (PDT),MustangKenny ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Dreams are well worth working for!," I've always wanted a V8 Mustang since my dad showed me a certain Steve McQueen movie called Bullitt, I just loved the styling and ferocity of McQueen's highland green '68 fastback GT. Nothing else was cooler.  Then Ford released the '05 model, now that's a Mustang! Well in a nutshell I found a tungsten grey '06 GT auto with 7k on it and bought it. Best decision ever. I love this V8! It's fast and it sounds great, though mine now sports a cold air intake and Pypes Violator exhaust and it turns heads with it's loud rumble.  Also this car is built extremely well. 31k on it and not even a rattle, not a problem. This is one I WILL NOT BE TRADING IN!",4.625
25, on 08/15/09 10:37 AM (PDT),spike ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),First Ford, I have been very pleased for the most part with my 06 Mustang GT.  I think the retro styling of the car is great.  It's like driving a 60s Mustang only better.   The steering response is great and it corners like a dream.  I am 6'2 and have never had a car that felt this comfortable. The Shaker 500 sounds awesome.  I have had aftermarket setups that didn't sound as good.  I only have a couple complaints. The rubber strips used to seal the inside of the windows scratch the hell out of my window tint when running them up and down.  There is a rattling noise under hard acceleration that almost sounds like detonation; but I am running 92 octane fuel and have ruled that out.   Very impressed,4.875
26, on 08/07/09 13:25 PM (PDT),mike bohle ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),2006 gt premium," Bought new, my red dream stang has performed, well, overall. Interior, passenger side vent rattles, interior tail light housing held in place by flimsy, plastic screw assemblies. Closing the trunk causes the rear lights to blink. On positive side, average over 20.5 miles per gallon, everywhere!. Car used mainly to go to gym and back and to the beach on weekends. Runs fast, but interior is noisy. Hope Ford adds interior insulation package to 2010",4.5
27, on 07/26/09 14:51 PM (PDT),Cricket ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),My show car," Love ""Mr. Steed"".  He is a ""Bickford Built"" one-off commemorative of a 1960 GT350 with $10,000 in upgrades.   I have entered him in 6 Mustang Club of America National shows and he has won first place every time.",4.625
28, on 07/25/09 23:46 PM (PDT),carlisleandy ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),What a car," This is one of the nicest and fun cars I have owned, and I have had plenty of sports cars. I get alot of compliments, and the sound and power is unbelievable. This car is pretty comfortable on long trips, part of the reason is for the redesigned seats compaired to the '01 mustang GT I owned.",4.875
29, on 07/11/09 06:08 AM (PDT),pappydave ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),Like this car a lot," I currently have 31,000 miles on this car and it has never been back to the dealer. I have been doing oil changes and routine maintenance. The only complaint I have is the Road noise seems a little loud to me. I get 25 MPG driving to work - mixed city/rural, and got 28 on a long trip on the freeway. ",4.75
30, on 06/22/09 17:37 PM (PDT),Mr boil ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Quality's not there, I love this car.  That's why it pains me to have to report this car's been in the shop almost a dozen times.  It was in for the rear clutch pack TSB 4 times!  The Shaker system ate several CD's.  It rattles.  It's hard to fuel at times. The A/C barely cools the interior.     I've had 10 year old Honda's that didn't exhibit 1/10th the problems this car's had.  This is the last Ford this former employee will ever buy. What a shame. ,3.875
31, on 06/20/09 06:51 AM (PDT),Dave S ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),I got one of those lemons," I bought this car to be an occasional driver - I have only put 13,000 miles on it in 3 years. Here is a list of things replaced on warranty and mileage when replaced:  Differential - 500 miles Radiator fan - 1800 miles Door jamb switch - 1900 miles A/C compressor - 2900 miles Fuel pump - 6100 miles A/C high pressure switch - 7800 miles Alternator - 9200 miles A/C line - 10400 miles A/C recharged - 12700 miles  The warranty has just expired and guess what? A/C not working again. For some unknown reason this vehicle does not want to have working A/C. Very frustrating. After my experience with this car I understand why the big 3 are in financial dire straits. Very shoddy workmanship IMO.",3.25
32, on 06/11/09 20:28 PM (PDT),Super critical ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Best new car I've owned (I've owned 8)," First the bad.  Struggling to get a full tank is unacceptable.  Turning the nozzle upside down usually fixs the problem.  Car is kinda thirsty but for the performance you get on regular gas, it's within the bounds of acceptable. I have an automatic and the hesitation on downshifting is unacceptable and unsafe when driving aggressively. Now the good. In over 39000 miles, it's never left me stranded.  Never been in the shop for repairs. Cabin is squeak and rattle free still.  Took it on a 8000mi trip and NEVER got out of it with a back ache.  Stereo is great. Seat, console and door armrest position is the best I've ever had.  I love the car and I'm not an easy person to please.  Worth a look!",4.5
33, on 05/31/09 16:39 PM (PDT),dave ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),Close but no cigar," Car is fun enough to drive, but having had the battery die twice in my garage, first time after owning it for two weeks, and again in June 09.  Auto feature on windows most times work fine, but often only work one way and not always the same way.  Air conditioning is poor most of the time.  Didn't work at all once, took it to the dealership- told it takes time to cool off - I guess an hour is not long enough when it's blowing hot air.  Next day it worked fine.  Wouldn't take it on a trip in hot weather.  Would not buy one again. Dealership charged me for an auto emission test, but not necessary if driven under 5000 miles in a year.",3.875
34, on 05/25/09 09:32 AM (PDT),dmbandTX ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),2006 V6 Coupe Premium + Options," I have owned 3 mustangs recently; a 2002 V6, a 2004 anniversary V6, and my current 2006 V6 coupe.  The 2006 is by far the best of the three I've owned. The sleek exterior reminiscent of the fastback look and retro interior are much preferred to the builds in the first half of the 2000's. My model is a torch red 5 speed manual which shifts much smoother than the previous vehicles. Options include all the V6 premium additions plus Pony Package (fog lamps / upgraded grill are sporty). The interior has a limited dark charcoal all leather finish, and the dash is upgraded to include the multi-function display below the speedometer and SHAKER-1000 Audio - much improved over previous MACH systems",4.875
35, on 04/22/09 18:25 PM (PDT),Marshall ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),She's exactly what I wanted," My 2006 Mustang GT is my seventh Mustang and by far, the best. The car runs 13's in the quarter, gets over 20mpg, sounds great, and is a blast to drive. Not the best handling car on the road, not the fastest either, but a solid platform that you can make into whatever kind of Mustang you would like. Tons of after market support including: wheels and tires, body kits, suspension system upgrades, power upgrades like blowers, turbos, nitrous oxide injection, super chargers cams, heads, etc...  You take care of your Mustang and she'll take care of you. I run premium fuel and full synthetic oil. Follow the maintenance guidelines, don't be cheap and skip over expensive services. ",4.5
36, on 03/14/09 08:48 AM (PDT),Green Onion ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Have your cake and eat it too!," We ordered our's Labor Day of '05 and picked it up in Nov. Power, handling, MPG, looks are all amazing. At first, the MPG was awful but it's only temporary. After the break in period, I've seen as high as 26 MPG (at avg. 77 MPH) and regularly get 23-24 MPG on my commute (1/3 city 2/3rds Hwy). I suspect, it could go as high as 30 MPG on a long trip and a moderate 65mph but don't think I never put my foot in it. Plenty have tried but no one has beat me in stop light drags. Handling is surprising for solid rear axle, but would prefer a proper independent rear suspension. There are downsides, heavy doors, squeaks & rattles from dash but this is one of the most pleasurable cars on the road!",4.625
37, on 03/11/09 10:28 AM (PDT),bad times bad car ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),used to love it...," I wanted the gt for many years, so I finally traded in my Mitsubishi for a 06 tungsten grey mustang gt. Ran great for about 2 months, then the problems started to occur... Ford services departments no matter where you go are no help, your better off saving time and money by going to an aftermarket shop to have any work done. I have owned it for a year and am done putting time and money into it. Though you can customize the car to any extent your better off getting a Dodge, Toyota, anything other than a ford.",3
38, on 02/16/09 09:17 AM (PST),Jay ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Good Buy," I'll be sad to see mine go. I've had BMW's, Camaro's, and Vettes, and this is by far my favorite car to date. Very reliable so far with only one problem (fuel gauge sensor) but otherwise a perfect all around car.  Not too fast (yes there is such a thing), but more than fast enough to get you in trouble on any road.  ",4.625
39, on 02/02/09 08:11 AM (PST),PhantomrStang ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Sad but True....not worth it," I have owned my car for 3 years. Wanted one since I was a kid. Very unhappy. Squeaks and rattles in the dash, window tint scratches when rolled down, spoiler comes lose constantly, vibration in front end that no one can seem to fix, new rattle in suspension, beginning to have trouble with the drive train, carpet and leather wear terribly, windows are beginning to leak when washed, more wind noise etc. This car was garage kept and babied, there is no excuse for this horrible quality. Though it was fun to drive and gets lots of look I will likely never buy Ford again! Go with the Honda, Toyota, Acura, Lexus or what ever else you are looking at!",3.375
40, on 01/16/09 18:19 PM (PST),DC Dave ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),One Super Car," Bought my 2006 GT with 5,000 miles on it and in absolute perfect condition. This car is a blast to customize and an absolute head turner.  ",4.875
41, on 01/14/09 10:10 AM (PST),Brenda ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),"Bought it new, falling apart"," The 2006 Mustang v6 Coupe is my 7th Mustang, I bought it new off the lot, and it's left me stranded all over town--thank God I have roadside assistance!  After two years of ownership a dead battery left me stranded out at work at midnight, in March I'll have had the car 3 years and I just had to put a new transmission in it at 68,000 miles. The Ford dealer said that since I hadn't had the transmission serviced at 30,000 mile intervals like the manual says I need to, they can't help. I've not had the oil changed exactly every 3,000 miles, does this mean the engine is going to blow?  Very poor quality.",2
42, on 12/20/08 22:01 PM (PST),luangtom ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Drive It Like I Stole It, I got back into the Mustang as a retiree and do not regret it. It is a fun car to drive and fulfills all my needs as a daily driver. Ya gotta love the V8 using regular-gas. It is also easily personalized and that is what I am in the process of doing.,4.5
43, on 12/11/08 18:09 PM (PST),pitbeagle73 ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Elvira," As soon as I got a glimpse of the 2006 Mustang GT I knew that I would have one, all I had to do was find one that was black on black. Well, that proved to be harder than anticipated. It took more than a year but we found a dealership that would allow us to build the car of our dreams. I picked Elvira up on Oct 2nd 2005 and she has been loved every day since. We drove her from Ohio to Florida in pouring rain without any trouble and surprising gas mileage. She is garage kept and stored as soon as snow threatens to fall. Our only complaint has been the cupholder position and trouble finding quality after market parts such as the shaker system that my husband suprised me with this past birthday",4.75
44, on 09/24/08 09:27 AM (PDT),John ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Incredible drive, I bought my Mustang new and right away I installed slp loudmouths and a K&N aircharger. I love this car. It's never a dull moment driving it. Just when you think you have it figured out it reminds you it has more when it slams you in the seat while spinning the tires.,4.875
45, on 09/22/08 15:54 PM (PDT),Pam ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),The Best Mustang Yet," I have owned many Mustangs. From a 1965 Coupe to a 2003 Mach 1 (I still own that one). This is the best Mustang yet in every area. It handles well, looks great, and has much more room that any previous Mustang. I have a five speed manual and it gets over 30 mpg on the highway although it is not rated that high. This car is the best ""all around"" car I have ever owned. In addition everywhere I go everyone compliments me on the car and wants to know all about it.  I have found that not only is this car welcome at Mustang shows it is also welcome at all local cruise in's, car shows, etc. Try that with your SUV.  It is 1965 all over again with this latest generation Mustang! ",4.875
46, on 09/19/08 22:51 PM (PDT),Nick ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Great Mustang!," I've had my 06 Mustang GT for two and a half years. Overall, I love this car! The modern-retro look, the powerful v-8, the American-muscle rumble, its got it all. I always love driving it, even in my routine communites. In the world full of soccer mom mini-vans, clunky pick-up trucks, and ho-hum sedans, it feels good driving a car that stands out and demands attention. This just doesn't become a ""daily driver car"" like your grand am, accord, or malibu. This car becomes a part of you. You'll eventually end up giving this car a name like Shelby, Sally, or Eleanor. This is the type of car that you pass down to your children. So, buy one, throw in your fav AC/DC album, and drive and live!",4.625
47, on 09/04/08 21:33 PM (PDT),KIKI ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Great Stang," Great car, dollar for dollar the most gratifying car I've owned. After coming off a slug slow but reliable BMW this is a very fun exciting ride. Wife's Audi which left our world last month feeling like a recovering crack addict, put her in the new 2009 flex. Average mileage 60% city 40% freeway/speedway southern california avg hghwy speed 80 mph overall mileage 21 on the Mustang v-8 quite impressive. Can't say enough about this car plan to hit 300k before retirement then it will still be worth a rebuild for weekend duties and fun.",5
48, on 09/01/08 16:07 PM (PDT),jim ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Dream car," I wanted a lime 68 as a kid but never could afford one. Now I am 50 and Ford not only brought back the color, but they made it look like what I wanted. I had been looking for a 68 or 69 in that color, which is impossible to find so I saw this 06 on the internet at my local dealer. One test drive made me realize that I didnt want an old one anymore. I got the looks coupled with power handling and a quality in the build that the 68 and 69 were lacking. So far I can't say enough good things about the car and hope to get a grabber orange to add to  the 89 convertible, 98 coupe and 06 GT that I have now.        ",4.875
49, on 08/16/08 17:54 PM (PDT),Brandon - STANG281 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),"Great car, and holds up well"," I've owned it for about 2 1/2 years now, I have about 45,000 miles on it. This was my first car, first manual. The clutch has been slipping for the past 10,000 miles or so (but held up well in my opinion). The handle/knob broke off of the driver seat release to lift it forward in order to get to the back seat. The rear differential has the TSB whining noise during low speed turns. And I also had a problem a few times with the TSB of water leaking into the passenger floorboard and causing some electrical problems. Overall, it's held up very well considering the abuse it's received. The seats are uncomfortable on a 2 1/2+ hour drive. The gas mileage is bearable, and not bad for the performance",4.25
50, on 08/05/08 16:40 PM (PDT),Biscuit ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),Love It," This is my 9th Mustang. All 5.0's. My buddies giggled when I showed up with mine. That was until I took them for a ride. Now four of them own a V6. Two more are in the market for one. I installed the dual exhaust, cold air intake, and a reprogrammer. This pony bucks now! It also rides like a dream. The fuel mileage is great on the highway, not so much in town. But that's my fault. Definitely get the 5 speed.",4.75
51, on 07/15/08 15:11 PM (PDT),Matt T. ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),My first white pony!," Love the car, hands down. We did have to have some repairs done within the first 10,000 miles such as the shifter, fuel pump, etc. The gas tank on occasion will not accept a full tank of gas? This happened to my buddy also and he had his fuel tank replaced, sounded like a design error.",4.625
52, on 07/14/08 22:00 PM (PDT),Alan ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Best bang for your buck!," This is my third Mustang, my last being an '88 GT convertible that I also bought new.  What a difference 18 years can make!  This car is faster, smoother, quieter (yes, I know a convertible is noisier, I'm comparing to friends' '88 GT hatchback), quicker around the corners, stops better, sounds better and gets better gas mileage to boot.  What's not to love?  This car was love at first sight.  I sold two cars to swing the downpayment and special ordered the car with all the toys - 18"" wheels, and a 1000 watt 6 disc with subwoofers in the trunk.  I'm a stick shift guy and this car has a wonderfully smooth transmission that shifts much better than my '88 GT.  I commute 55 mi./day and get 22mpg",5
53, on 07/11/08 01:24 AM (PDT),ida ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Love our Mustang," We were going to wait till next year to buy a car but when we saw the Mustang we were sold. Everything on it we really like.  There is so much room for my husband who is 6'3"". Owned a smaller vehicle but was always cramped. Would recommend it to anyone. Brought back old memories of the Ford Mustang.  Going to put it in a show on July 19.",5
54, on 06/19/08 07:13 AM (PDT),Snotrocket ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),A Great Pony," I bought mine new in July of 06. v6  Legend Lime w/pony package. I went with the V6 due to price and insurance cost. After adding a S&B CAI, Predator tune, and GT muffler, I bumped up the hp to that of a small block v8, about 240hp.  A 4:10 is going in shortly to makeup for the automatic. The v6 is a great platform to start off on if your on a tight budget. Responds well to S/C's which take the v6 to the 310hp range. I don't have that many miles on the car, but I haven't had any issues with it. I still get many compliments from people when I am out and about. I have no regrets with this car. It's a blast.",4.875
